KOR,MATH,GRADE
86,66,A
16,46,C
46,73,B
85,11,B
52,79,B
95,23,B
73,36,B
37,97,B
54,17,C
89,71,A
54,16,C
29,83,B
10,24,C
21,86,B
22,30,C
32,48,B
37,60,B
80,98,A
22,79,B
78,58,B
99,27,B
21,80,B
60,25,B
37,71,B
99,52,A
51,90,A
64,72,B
51,33,B
49,99,A
58,77,B
85,35,B
59,96,A
49,76,B
50,48,B
85,51,B
32,27,C
53,27,B
31,89,B
50,80,B
14,53,C
59,79,B
80,71,A
58,81,B
77,61,B
97,76,A
95,48,A
16,32,C
55,49,B
33,53,B
20,90,B
67,94,A
99,58,A
12,45,C
42,58,B
28,71,B
39,57,B
48,56,B
53,49,B
44,62,B
91,78,A
94,73,A
48,46,B
33,44,C
89,97,A
52,26,C
87,86,A
16,49,C
46,98,A
35,64,B
28,57,B
15,43,C
47,99,A
55,96,A
52,94,A
14,49,C
12,97,B
36,58,B
53,60,B
23,31,C
90,38,B
11,34,C
100,85,A
65,28,B
49,84,B
62,94,A
67,54,B
94,93,A
89,37,B
45,35,B
98,39,B
98,47,A
76,42,B
62,68,B
76,92,A
91,78,A
48,91,B
68,29,B
27,61,B
94,18,B
22,57,C
88,28,B
90,35,B
78,41,B
28,89,B
72,30,B
54,35,B
61,86,A
96,78,A
26,72,B
81,96,A
88,14,B
66,17,B
29,35,C
60,35,B
12,34,C
37,54,B
27,61,B
10,41,C
10,29,C
38,90,B
65,14,C
41,97,B
15,56,C
68,93,A
26,58,B
55,99,A
92,78,A
34,12,C
33,96,B
48,11,C
86,75,A
14,34,C
92,73,A
52,69,B
15,17,C
86,59,A
36,67,B
16,62,C
79,14,B
98,76,A
65,32,B
94,58,A
53,25,C
70,68,B
10,59,C
97,63,A
37,22,C
48,83,B
27,41,C
60,17,C
17,23,C
36,99,B
43,51,B
84,79,A
58,20,C
34,78,B
21,49,C
62,88,A
95,39,B
91,85,A
22,34,C
57,81,B
62,100,A
58,38,B
65,79,A
34,58,B
75,14,B
85,39,B
76,41,B
92,44,B
71,21,B
77,62,B
53,11,C
74,93,A
66,67,B
92,89,A
23,43,C
59,39,B
16,65,B
12,99,B
57,51,B
22,30,C
90,36,B
34,86,B
66,12,C
75,99,A
11,55,C
23,43,C
13,68,B
12,62,C
20,12,C
25,48,C
29,66,B
43,72,B
39,80,B
58,66,B
12,65,C
44,23,C
18,77,B
93,41,B
62,89,A
63,95,A
17,20,C
56,44,B
20,48,C
98,59,A
29,94,B
67,67,B
92,35,B
40,89,B
16,77,B
42,54,B
38,83,B
30,94,B
100,57,A
94,63,A
90,77,A
26,67,B
12,33,C
49,28,C
11,18,C
46,78,B
76,18,B
67,97,A
45,73,B
64,99,A
66,79,A
60,99,A
75,65,A
19,11,C
84,61,A
85,84,A
89,17,B
35,36,C
76,60,B
73,45,B
42,40,B
67,17,B
51,42,B
71,21,B
77,42,B
21,10,C
63,94,A
51,56,B
68,88,A
12,62,C
48,75,B
43,88,B
88,51,B
22,78,B
84,72,A
10,51,C
45,28,C
97,26,B
78,20,B
44,22,C
99,95,A
97,97,A
16,59,C
86,87,A
79,96,A
48,69,B
10,76,B
25,62,B
34,30,C
89,12,B
93,52,A
66,64,B
77,91,A
31,100,B
84,20,B
26,65,B
64,98,A
19,71,B
30,98,B
15,41,C
29,43,C
29,50,C
53,79,B
91,12,B
61,47,B
65,27,B
79,26,B
17,38,C
89,79,A
49,86,B
55,66,B
39,53,B
37,49,B
98,66,A
52,91,A
46,28,C
14,60,C
65,26,B
67,72,B
80,82,A
59,72,B
52,41,B
69,73,A
33,100,B
28,98,B
90,14,B
75,50,B
84,75,A
44,15,C
74,39,B
75,23,B
41,53,B
34,29,C
48,62,B
79,12,B
70,66,B
20,14,C
77,21,B
90,34,B
55,32,B
72,72,A
45,61,B
18,83,B
50,61,B
65,96,A
25,33,C
22,89,B
10,71,B
77,23,B
13,21,C
70,26,B
45,43,B
29,66,B
47,14,C
63,41,B
26,88,B
32,22,C
38,100,B
18,98,B
93,14,B
90,23,B
95,80,A
52,66,B
11,23,C
10,15,C
91,49,A
39,56,B
61,67,B
87,88,A
75,34,B
83,67,A
53,52,B
92,15,B
70,80,A
69,34,B
50,50,B
98,85,A
48,43,B
45,24,C
60,73,B
52,81,B
95,67,A
63,89,A
62,40,B
64,44,B
26,57,B
88,80,A
29,56,B
67,92,A
66,93,A
67,61,B
33,16,C
65,98,A
90,79,A
25,14,C
66,43,B
63,73,B
97,62,A
57,18,C
53,14,C
38,11,C
94,27,B
36,49,B
48,96,A
68,18,B
96,53,A
66,15,B
14,29,C
73,23,B
61,48,B
60,78,B
79,77,A
29,34,C
25,78,B
14,35,C
73,82,A
17,42,C
10,29,C
82,52,B
92,16,B
16,55,C
11,38,C
74,40,B
55,69,B
16,27,C
39,35,C
50,91,A
55,47,B
83,46,B
58,85,A
46,43,B
10,62,C
87,24,B
46,23,C
58,47,B
88,21,B
56,40,B
81,19,B
