KOR,MATH,GRADE
68,60,B
42,28,C
61,59,B
57,74,B
87,35,B
76,43,B
22,48,C
36,92,B
64,38,B
28,91,B
29,81,B
11,24,C
100,76,A
25,23,C
81,57,B
59,76,B
27,17,C
37,82,B
44,92,B
95,33,B
13,80,B
76,18,B
35,90,B
90,13,B
43,84,B
24,90,B
34,52,B
81,52,B
42,64,B
67,27,B
21,13,C
36,88,B
51,76,B
51,56,B
20,32,C
93,31,B
99,27,B
76,70,A
62,39,B
35,45,B
73,13,B
27,10,C
27,88,B
25,46,C
32,83,B
28,54,B
72,36,B
75,36,B
68,81,A
28,74,B
50,81,B
97,18,B
34,86,B
28,14,C
94,40,B
81,48,B
81,34,B
95,60,A
11,73,B
95,97,A
20,31,C
95,74,A
83,100,A
19,57,C
95,23,B
51,62,B
31,96,B
48,63,B
45,61,B
79,58,B
37,37,C
41,57,B
44,83,B
86,67,A
69,80,A
55,11,C
60,39,B
80,15,B
31,22,C
49,29,C
81,72,A
32,62,B
40,100,A
65,54,B
39,24,C
33,76,B
31,47,C
40,72,B
60,67,B
56,66,B
10,15,C
100,23,B
79,34,B
45,43,B
48,79,B
86,27,B
81,51,B
44,20,C
90,68,A
29,72,B
91,98,A
68,28,B
58,13,C
15,91,B
98,61,A
43,59,B
15,40,C
62,38,B
100,12,B
74,88,A
90,52,A
42,89,B
43,93,B
90,12,B
31,16,C
97,44,A
59,35,B
68,86,A
11,80,B
66,26,B
86,43,B
51,27,C
80,77,A
73,96,A
78,73,A
77,82,A
70,71,A
78,92,A
63,87,A
37,72,B
28,81,B
70,37,B
33,39,C
61,67,B
59,57,B
66,69,B
95,84,A
69,99,A
32,38,C
73,44,B
27,67,B
99,16,B
41,41,B
50,42,B
44,44,B
18,11,C
43,55,B
83,34,B
53,10,C
29,61,B
14,18,C
61,81,A
81,61,A
16,60,C
87,81,A
57,25,B
40,85,B
23,53,C
94,31,B
31,39,C
75,10,B
25,78,B
94,48,A
40,97,B
88,19,B
46,86,B
70,61,B
56,12,C
63,52,B
77,13,B
55,57,B
25,10,C
60,61,B
91,44,B
24,98,B
87,36,B
52,18,C
35,15,C
40,27,C
77,91,A
74,76,A
52,49,B
50,72,B
20,55,C
88,60,A
44,65,B
35,81,B
43,85,B
11,26,C
40,30,C
21,58,C
22,96,B
69,65,B
93,53,A
14,45,C
96,25,B
56,41,B
42,40,B
24,69,B
14,83,B
13,99,B
69,19,B
37,62,B
96,21,B
25,10,C
20,70,B
11,98,B
46,64,B
58,20,C
95,64,A
57,55,B
78,43,B
16,47,C
40,82,B
97,85,A
27,50,C
70,80,A
58,84,A
86,87,A
88,67,A
62,60,B
71,84,A
28,74,B
74,46,B
56,61,B
71,81,A
13,50,C
87,88,A
22,12,C
89,14,B
43,22,C
51,87,B
62,43,B
14,55,C
82,15,B
83,48,B
42,86,B
62,46,B
88,46,B
62,15,C
76,81,A
76,41,B
88,11,B
88,11,B
57,56,B
100,22,B
88,64,A
37,88,B
55,92,A
20,33,C
100,11,B
89,97,A
22,85,B
34,21,C
40,14,C
54,88,A
39,85,B
66,81,A
66,59,B
78,99,A
47,10,C
12,70,B
59,28,B
79,34,B
24,74,B
88,25,B
29,38,C
68,69,B
93,92,A
79,58,B
56,37,B
77,96,A
86,67,A
53,27,B
12,44,C
12,50,C
27,12,C
81,25,B
96,18,B
30,45,C
76,73,A
74,24,B
100,28,B
46,22,C
16,68,B
76,64,A
100,96,A
64,90,A
95,29,B
52,55,B
31,63,B
73,79,A
71,68,B
64,44,B
50,85,B
98,32,B
92,67,A
97,68,A
40,60,B
23,16,C
62,33,B
46,99,A
39,26,C
100,17,B
62,32,B
79,93,A
33,74,B
28,15,C
54,19,C
97,47,A
49,27,C
38,20,C
61,66,B
53,96,A
91,26,B
32,63,B
49,99,A
11,82,B
60,17,C
89,21,B
65,72,B
49,58,B
84,41,B
30,86,B
87,95,A
26,74,B
96,11,B
93,43,B
72,91,A
57,85,A
77,35,B
67,95,A
95,93,A
59,25,B
39,21,C
32,18,C
20,39,C
33,94,B
56,13,C
23,66,B
51,84,B
44,72,B
75,33,B
87,40,B
39,23,C
98,17,B
87,94,A
33,33,C
92,63,A
11,64,C
60,62,B
12,91,B
21,22,C
96,66,A
81,54,B
34,99,B
60,70,B
79,21,B
85,38,B
50,98,A
86,51,B
72,67,B
27,23,C
65,20,B
95,74,A
67,50,B
50,44,B
83,89,A
67,73,A
22,25,C
26,16,C
88,67,A
26,81,B
100,21,B
19,43,C
21,77,B
40,87,B
89,72,A
43,99,A
63,77,A
56,59,B
19,46,C
91,45,B
40,74,B
36,98,B
73,99,A
70,36,B
35,80,B
98,52,A
20,87,B
48,15,C
12,31,C
55,57,B
76,78,A
64,10,C
72,26,B
17,47,C
98,52,A
16,88,B
70,33,B
71,79,A
79,25,B
88,53,A
17,69,B
51,82,B
48,38,B
27,76,B
36,34,C
49,83,B
14,28,C
70,77,A
16,27,C
60,34,B
89,38,B
50,81,B
99,51,A
87,89,A
84,66,A
40,23,C
87,71,A
99,85,A
62,29,B
46,41,B
11,16,C
53,22,C
98,62,A
44,15,C
87,27,B
97,65,A
18,58,C
43,100,A
24,34,C
92,69,A
50,66,B
91,73,A
21,13,C
100,93,A
82,30,B
39,14,C
82,16,B
32,90,B
67,16,B
56,82,B
48,29,C
76,57,B
57,81,B
55,48,B
78,98,A
29,30,C
65,23,B
74,17,B
54,58,B
92,69,A
39,85,B
29,89,B
74,79,A
11,63,C
63,29,B
11,35,C
17,28,C
14,89,B
31,32,C
81,13,B
72,59,B
19,91,B
21,99,B
94,26,B
91,47,B
90,44,B
48,48,B
45,71,B
83,31,B
48,45,B
43,35,C
32,25,C
68,38,B
33,86,B
77,18,B
47,94,A
95,48,A
58,96,A
64,48,B
99,82,A
33,17,C
23,73,B
12,60,C
32,18,C
41,83,B
26,51,C
86,53,B
86,78,A
39,58,B
74,92,A
44,61,B
98,60,A
36,44,B
91,50,A
88,93,A
89,63,A
59,65,B
33,31,C
30,100,B
20,30,C
47,24,C
92,64,A
52,100,A
93,15,B
55,13,C
94,34,B
61,49,B
21,29,C
77,72,A
61,86,A
48,26,C
66,74,A
26,43,C
59,65,B
96,37,B
21,94,B
21,25,C
82,55,B
85,24,B
86,14,B
85,90,A
72,88,A
89,84,A
53,92,A
82,28,B
37,65,B
39,35,C
37,88,B
69,30,B
83,81,A
82,70,A
55,97,A
19,73,B
85,42,B
79,75,A
15,39,C
90,49,B
35,76,B
86,78,A
28,50,C
35,45,B
26,36,C
48,40,B
18,76,B
62,29,B
39,20,C
63,18,B
99,38,B
52,43,B
23,39,C
58,53,B
77,57,B
62,71,B
12,74,B
78,13,B
92,38,B
51,51,B
53,17,C
45,75,B
95,37,B
48,15,C
68,44,B
63,26,B
32,95,B
57,21,C
12,58,C
89,16,B
71,21,B
31,25,C
90,43,B
58,79,B
14,68,B
95,87,A
58,11,C
65,86,A
66,44,B
85,81,A
59,10,C
18,28,C
66,61,B
91,51,A
24,22,C
57,35,B
100,36,B
38,84,B
65,48,B
18,96,B
74,80,A
89,45,B
88,13,B
37,64,B
70,49,B
76,22,B
51,53,B
80,71,A
20,91,B
47,52,B
10,22,C
92,44,B
99,44,A
96,88,A
61,45,B
92,35,B
42,98,A
98,66,A
77,83,A
88,70,A
51,95,A
46,21,C
93,11,B
50,91,A
21,51,C
82,92,A
62,45,B
78,93,A
75,64,B
55,13,C
75,86,A
45,12,C
44,29,C
41,68,B
49,47,B
91,68,A
41,95,B
51,92,A
60,13,C
85,85,A
86,97,A
91,22,B
86,49,B
26,17,C
46,80,B
24,51,C
59,37,B
74,54,B
22,45,C
93,40,B
81,83,A
33,35,C
55,56,B
23,48,C
28,26,C
24,81,B
55,32,B
85,94,A
96,30,B
58,18,C
98,16,B
13,43,C
47,39,B
90,62,A
79,60,B
76,52,B
91,38,B
77,46,B
30,34,C
70,93,A
89,31,B
78,98,A
65,93,A
26,78,B
35,86,B
58,84,A
95,62,A
10,12,C
19,67,B
60,93,A
13,16,C
10,91,B
42,75,B
37,99,B
89,79,A
39,92,B
27,60,B
74,79,A
49,33,B
53,65,B
14,53,C
27,28,C
60,64,B
55,34,B
60,13,C
35,71,B
41,83,B
80,38,B
79,35,B
48,21,C
35,66,B
98,38,B
18,53,C
97,76,A
35,16,C
30,78,B
26,14,C
70,49,B
35,55,B
28,35,C
80,75,A
49,73,B
52,38,B
19,92,B
85,18,B
45,96,A
44,92,B
71,11,B
49,42,B
42,75,B
15,65,B
98,23,B
57,62,B
24,54,C
26,95,B
96,44,A
71,28,B
90,70,A
72,89,A
65,11,C
32,63,B
43,43,B
79,74,A
16,15,C
37,39,C
40,67,B
39,56,B
21,14,C
68,43,B
61,97,A
82,38,B
88,66,A
10,51,C
55,18,C
99,76,A
14,62,C
36,13,C
84,40,B
83,39,B
62,82,A
71,68,B
45,52,B
30,42,C
52,63,B
41,39,B
92,35,B
10,61,C
29,87,B
28,63,B
11,46,C
59,89,A
49,89,B
92,11,B
83,32,B
50,74,B
34,11,C
14,16,C
48,51,B
80,83,A
11,82,B
96,28,B
34,51,B
70,23,B
51,47,B
49,80,B
27,29,C
33,85,B
54,58,B
44,32,C
89,39,B
40,62,B
28,92,B
90,14,B
62,66,B
99,86,A
21,57,C
26,30,C
93,92,A
48,96,A
85,72,A
81,74,A
70,85,A
28,89,B
15,80,B
84,55,B
12,79,B
82,87,A
69,29,B
77,17,B
37,29,C
14,53,C
22,39,C
31,12,C
80,33,B
98,79,A
11,61,C
71,66,B
16,70,B
41,60,B
97,25,B
10,41,C
18,61,C
100,55,A
53,34,B
17,74,B
55,47,B
99,42,A
21,70,B
14,86,B
92,99,A
32,88,B
58,83,A
12,77,B
23,25,C
80,65,A
24,16,C
41,86,B
73,38,B
78,72,A
11,71,B
40,59,B
19,49,C
21,76,B
56,54,B
81,30,B
58,85,A
68,35,B
43,88,B
79,62,A
87,54,A
52,96,A
11,38,C
74,34,B
35,41,C
83,40,B
52,27,C
55,91,A
53,16,C
86,17,B
34,15,C
47,85,B
76,39,B
34,55,B
23,78,B
65,54,B
99,42,A
91,79,A
37,71,B
40,62,B
74,26,B
52,23,C
91,84,A
100,91,A
88,65,A
58,31,B
69,58,B
90,47,B
74,50,B
67,88,A
27,96,B
49,62,B
74,47,B
100,61,A
12,56,C
